sigPos,sigNeg,pdPos,hwPos,cccPos,pdNeg,hwNeg,cccNeg,fr1,fr2,pli1,pli2,spi1,spi2
1.00000,0.00000,2.50000,1.50000,0.01464,0.00000,0.00000,0.00000,5.03812,14.57760,0.05714,0.03683,0.53391,0.63379
1.00000,0.00000,2.50000,1.50000,0.03195,0.00000,0.00000,0.00000,5.03812,9.37273,0.05714,0.04833,0.53391,0.65962
1.00000,0.00000,2.50000,1.00000,0.01170,0.00000,0.00000,0.00000,14.57760,9.37273,0.03683,0.04833,0.63379,0.65962
0.00000,0.00000,30.50000,NaN,0.00368,0.00000,0.00000,0.00000,2.60348,3.20232,0.07580,0.05511,0.52000,0.32157
0.00000,0.00000,2.50000,NaN,0.00290,0.00000,0.00000,0.00000,2.60348,1.29677,0.07580,0.09610,0.52000,0.51219
0.00000,0.00000,2.50000,NaN,0.00581,0.00000,0.00000,0.00000,3.20232,1.29677,0.05511,0.09610,0.32157,0.51219
1.00000,0.00000,2.00000,3.50000,0.01758,0.00000,0.00000,0.00000,9.04083,3.44204,0.06615,0.19478,0.76069,0.54886
0.00000,0.00000,3.00000,NaN,0.00550,0.00000,0.00000,0.00000,1.70796,3.06035,0.11411,0.30675,0.74176,0.58260
1.00000,0.00000,4.00000,3.00000,0.00524,0.00000,0.00000,0.00000,1.37050,1.57593,0.17549,0.44292,0.75825,0.69004
1.00000,0.00000,1.00000,1.00000,0.02109,0.00000,0.00000,0.00000,3.44768,14.73243,0.05543,0.03262,0.31986,0.66751
1.00000,0.00000,-1.00000,1.00000,0.01191,0.00000,0.00000,0.00000,19.67051,4.94284,0.02942,0.05846,0.80146,0.63702
1.00000,0.00000,1.50000,3.00000,0.02505,0.00000,0.00000,0.00000,9.63569,4.40238,0.03280,0.07374,0.33701,0.52899
1.00000,0.00000,1.00000,1.00000,0.00961,0.00000,0.00000,0.00000,2.49161,1.28148,0.06402,0.08568,0.28837,0.22500
