sigPos,sigNeg,pdPos,hwPos,cccPos,pdNeg,hwNeg,cccNeg,si
1.00000,0.00000,2.50000,1.50000,0.01464,0.00000,0.00000,0.00000,0.22458
1.00000,0.00000,2.50000,1.50000,0.03195,0.00000,0.00000,0.00000,0.27154
1.00000,0.00000,2.50000,1.00000,0.01170,0.00000,0.00000,0.00000,0.29477
0.00000,0.00000,30.50000,NaN,0.00368,0.00000,0.00000,0.00000,0.08170
0.00000,0.00000,2.50000,NaN,0.00290,0.00000,0.00000,0.00000,0.07687
0.00000,0.00000,2.50000,NaN,0.00581,0.00000,0.00000,0.00000,0.09671
1.00000,0.00000,2.00000,3.50000,0.01758,0.00000,0.00000,0.00000,0.21674
0.00000,0.00000,3.00000,NaN,0.00550,0.00000,0.00000,0.00000,0.17598
1.00000,0.00000,4.00000,3.00000,0.00524,0.00000,0.00000,0.00000,0.05106
1.00000,0.00000,1.00000,1.00000,0.02109,0.00000,0.00000,0.00000,0.14576
1.00000,0.00000,-1.00000,1.00000,0.01191,0.00000,0.00000,0.00000,0.22051
1.00000,0.00000,1.50000,3.00000,0.02505,0.00000,0.00000,0.00000,0.08549
1.00000,0.00000,1.00000,1.00000,0.00961,0.00000,0.00000,0.00000,0.07618
1.00000,0.00000,-1.50000,2.00000,0.01169,0.00000,0.00000,0.00000,0.42028
1.00000,0.00000,-2.00000,1.00000,0.01819,0.00000,0.00000,0.00000,0.11381
0.00000,0.00000,3.00000,NaN,0.00400,0.00000,0.00000,0.00000,0.07681
0.00000,0.00000,-26.50000,NaN,0.00656,0.00000,0.00000,0.00000,0.50775
1.00000,0.00000,4.00000,1.50000,0.02350,0.00000,0.00000,0.00000,0.14540
1.00000,0.00000,1.00000,5.50000,0.01721,0.00000,0.00000,0.00000,0.37044
1.00000,0.00000,0.00000,1.00000,0.05143,0.00000,0.00000,0.00000,0.16125
1.00000,0.00000,0.50000,2.00000,0.02916,0.00000,0.00000,0.00000,0.16667
1.00000,0.00000,-2.00000,1.50000,0.00541,0.00000,0.00000,0.00000,0.05137
1.00000,0.00000,1.50000,1.00000,0.02252,0.00000,0.00000,0.00000,0.01020
1.00000,0.00000,1.50000,1.50000,0.03701,0.00000,0.00000,0.00000,0.28683
1.00000,0.00000,1.50000,5.00000,0.05664,0.00000,0.00000,0.00000,0.20569
1.00000,0.00000,4.00000,5.00000,0.03189,0.00000,0.00000,0.00000,0.28891
0.00000,0.00000,5.50000,NaN,0.01066,0.00000,0.00000,0.00000,0.38246
0.00000,0.00000,1.00000,NaN,0.00499,0.00000,0.00000,0.00000,0.06176
0.00000,0.00000,-1.00000,NaN,0.00725,0.00000,0.00000,0.00000,0.23699
1.00000,0.00000,-3.50000,2.50000,0.02381,0.00000,0.00000,0.00000,0.27298
1.00000,0.00000,4.00000,1.50000,0.04021,0.00000,0.00000,0.00000,0.23860
0.00000,0.00000,3.50000,NaN,0.03182,0.00000,0.00000,0.00000,0.18007
1.00000,0.00000,4.00000,5.00000,0.01319,0.00000,0.00000,0.00000,0.38025
1.00000,0.00000,-1.50000,3.00000,0.01863,0.00000,0.00000,0.00000,0.33570
1.00000,0.00000,-1.00000,2.00000,0.00907,0.00000,0.00000,0.00000,0.31592
1.00000,0.00000,-2.50000,1.50000,0.03507,0.00000,0.00000,0.00000,0.66139
0.00000,0.00000,-2.00000,NaN,0.02000,0.00000,0.00000,0.00000,0.62363
0.00000,0.00000,-38.00000,NaN,0.01237,0.00000,0.00000,0.00000,0.46825
1.00000,0.00000,1.50000,1.50000,0.01156,0.00000,0.00000,0.00000,0.62027
0.00000,0.00000,6.50000,NaN,0.02456,0.00000,0.00000,0.00000,0.37650
0.00000,0.00000,3.00000,NaN,0.02430,0.00000,0.00000,0.00000,0.52964
0.00000,0.00000,2.00000,NaN,0.02952,0.00000,0.00000,0.00000,0.21001
1.00000,0.00000,-1.50000,2.50000,0.03202,0.00000,0.00000,0.00000,0.40064
1.00000,0.00000,0.50000,1.00000,0.05172,0.00000,0.00000,0.00000,0.15206
0.00000,0.00000,0.50000,NaN,0.04870,0.00000,0.00000,0.00000,0.34393
0.00000,0.00000,4.00000,NaN,0.04642,0.00000,0.00000,0.00000,0.26197
0.00000,0.00000,9.50000,NaN,0.01504,0.00000,0.00000,0.00000,0.10706
0.00000,0.00000,-4.50000,NaN,0.01215,0.00000,0.00000,0.00000,0.37907
1.00000,0.00000,0.50000,1.00000,0.06408,0.00000,0.00000,0.00000,0.21800
1.00000,0.00000,2.50000,1.50000,0.01643,0.00000,0.00000,0.00000,0.61668
1.00000,0.00000,-2.00000,1.50000,0.03748,0.00000,0.00000,0.00000,0.28066
1.00000,0.00000,0.50000,3.50000,0.01531,0.00000,0.00000,0.00000,0.12883
1.00000,0.00000,0.50000,1.50000,0.01602,0.00000,0.00000,0.00000,0.09876
1.00000,0.00000,-1.00000,1.50000,0.02035,0.00000,0.00000,0.00000,0.09231
1.00000,0.00000,-0.50000,1.50000,0.00935,0.00000,0.00000,0.00000,0.22528
1.00000,0.00000,8.50000,1.00000,0.01343,0.00000,0.00000,0.00000,0.13536
1.00000,0.00000,-8.00000,1.00000,0.01331,0.00000,0.00000,0.00000,0.08967
0.00000,0.00000,-0.50000,NaN,0.00757,0.00000,0.00000,0.00000,0.16559
0.00000,0.00000,-12.50000,NaN,0.00785,0.00000,0.00000,0.00000,0.17208
1.00000,0.00000,-0.50000,1.00000,0.01438,0.00000,0.00000,0.00000,0.35023
1.00000,0.00000,1.50000,2.00000,0.03246,0.00000,0.00000,0.00000,0.46016
0.00000,0.00000,1.50000,NaN,0.01641,0.00000,0.00000,0.00000,0.25912
1.00000,0.00000,1.00000,1.00000,0.02887,0.00000,0.00000,0.00000,0.51563
0.00000,0.00000,0.50000,NaN,0.02058,0.00000,0.00000,0.00000,0.32094
1.00000,0.00000,8.00000,1.00000,0.01686,0.00000,0.00000,0.00000,0.43381
0.00000,0.00000,-33.50000,NaN,0.01397,0.00000,0.00000,0.00000,0.19130
1.00000,0.00000,0.50000,1.50000,0.03527,0.00000,0.00000,0.00000,0.27296
0.00000,0.00000,33.50000,NaN,0.09480,0.00000,0.00000,0.00000,0.34752
1.00000,0.00000,0.00000,1.50000,0.27984,0.00000,0.00000,0.00000,0.18674
1.00000,0.00000,1.50000,3.00000,0.15269,0.00000,0.00000,0.00000,0.18128
1.00000,0.00000,0.00000,1.50000,0.05975,0.00000,0.00000,0.00000,0.11263
0.00000,0.00000,33.50000,NaN,0.08721,0.00000,0.00000,0.00000,0.20125
